Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Jorge Arturo Ortiz Flores,"Ortiz Flores,Jorge Arturo",3,4.0,"Ford Global Technologies, LLC",4,1,0,"Mexico City, MX",2019 - 2019,2019,2019,5.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECATRÓNICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,9062598,2014.0,,,,,,,,,0.0,,,Mexicana
Jorge Cantu,"Cantu,Jorge",3,7.0,DEERE & COMPANY,12,0,0,"Monterrey, MX",2021 - 2022,2021,2022,,Hombre,,,,,,,,,,,,,,,,,
Jorge Carlos Tellez Valdes,"Tellez Valdes,Jorge Carlos",3,14.0,"Ford Global Technologies, LLC",3,0,1,"Calimaya de Díaz González, MX",2018 - 2020,2018,2020,11.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5117781,2007.0,,,,,,,,,0.0,,,Mexicana
Jorge D Viesca,"D Viesca,Jorge",3,2.0,Emerson Electric Co.,5,0,2,"Villa de Pozos, MX",2018 - 2020,2018,2020,,Hombre,,,,,,,,,,,,,,,,,
Jorge Del Angel,"de la Cruz Clavel Lopez,Juan",3,2.0,"Interface, Inc.",6,0,2,"El Chubasco, MX",2017 - 2023,2017,2023,,Hombre,,,,,,,,,,,,,,,,,
Jorge E Gonzalez Diaz,"Gonzalez Diaz,Jorge E",3,0.0,Intel Corporation,1,0,0,"Tlaquepaque, MX",2018 - 2020,2018,2020,10.0,HOMBRE,LICENCIATURA COMO INGENIERO EN SISTEMAS COMPUTACIONALES,INSTITUTO POLITÉCNICO NACIONAL,1.0,5481505,2008.0,MAESTRÍA EN INGENIERÍA Y DESARROLLO DE SOFTWARE,COLEGIO DE POSTGRADO EN DESARROLLO DE SOFTWARE,11857767,2019,,,,,1.0,,,Mexicana
Jorge Eugenio Garza Montemayor,"Garza Montemayor,Jorge Eugenio",3,6.0,,1,0,0,"El Control, MX",2016 - 2019,2016,2019,24.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,1680151,1992.0,,,,,,,,,0.0,PROLAMSA,DIRECTOR GENERAL,Mexicana
Jorge Gonzalez Canudas,"Gonzalez Canudas,Jorge",3,0.0,LABORATORIOS SILANES S.A. DE C.V.,0,0,0,"Mexico City, MX",2021 - 2024,2021,2024,17.0,HOMBRE,MEDICINA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,,2004.0,,,,,,,,,0.0,LABORATORIO SILANES,DIRECTOR CIENTÍFICO,Mexicana
Jorge Hinojosa,"Hinojosa,Jorge",3,,,,,,"Querétaro, MX",2011 - 2014,2011,2014,,Hombre,,,,,,,,,,,,,,,,,
Jorge I Escamilla Rodriguez,"Escamilla Rodriguez,Jorge I",3,14.0,Aptiv Technologies AG,2,0,0,"Saltillo, MX",2019 - 2020,2019,2020,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,INSTITUTO TECNOLÓGICO DE SALTILLO,1.0,6898691,2011.0,,,,,,,,,0.0,APTIV,SUPERVISOR DE INGENIEROS DE PRODUCTO,Mexicana
Jorge Jara Zambrano,"Jara Zambrano,Jorge",3,5.0,"Ford Global Technologies, LLC",3,0,2,"López Mateos, MX",2015 - 2018,2015,2018,5.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,6303189,2010.0,,,,,,,,,0.0,,,Mexicana
Jorge Jara Zambrano,"Jara Zambrano,Jorge",3,3.0,"Ford Global Technologies, LLC",3,0,0,"Atizapán de Zaragoza, MX",2018 - 2021,2018,2021,8.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,6303189,2010.0,,,,,,,,,0.0,,,Mexicana
Jorge Joaquin Canto Ibanez,"Canto Ibanez,Jorge Joaquin",3,0.0,CORROSION Y PROTECCION SE DE CV,9,0,1,"San Miguel Ajusco, MX",2015 - 2017,2015,2017,11.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,4291733,2004.0,,,,,DOCTORADO EN ING. Y CIENCIAS APLICADAS CON OPCIÓN TERMINAL EN TECNOLOGÍA DE MATERIALES,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MORELOS,6985971,2011,0.0,,,Mexicana
Jorge L Rosado,"Del Pozo Gonzalez,Luis Miguel",3,17.0,Nucitec S.A. de C.V.,4,1,0,"Querétaro, MX",2014 - 2015,2014,2015,,Hombre,,,,,,,,,,,,,,,,,
Jorge Lopez Cuevas,"Lopez Cuevas,Jorge",3,7.0,"Acumuladores Mexicanos, S.A. de C.V.",4,0,0,"Saltillo, MX",1999 - 2001,1999,2001,1.0,HOMBRE,LICENCIATURA COMO INGENIERO METALÚRGICO,INSTITUTO TECNOLÓGICO DE CHIHUAHUA (I.T.R.),1.0,2641053,1998.0,,,,,,,,,0.0,,,Mexicana
Jorge Luis Rosado Loria,"GUZMAN CASTILLO,Maria de Lourdes Alejandra",3,7.0,Nucitec S.A. de C.V.,14,2,0,"Chametla, MX",2012 - 2017,2012,2017,31.0,HOMBRE,LICENCIATURA EN INGENIERÍA BIOQUÍMICA ,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,676641,1981.0,MAESTRÍA EN CIENCIAS,INSTITUTO TECNOLÓGICO DE MASSACHUSETTS,,1983,DOCTORADO EN CIENCIAS DE LOS ALIMENTOS Y NUTRICIÓN,UNIVERSIDAD DE CONNECTICUT,,1988,1.0,UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,CATEDRÁTICO ,Mexicana
Jorge Octavio Villar Kuri,"Villar Kuri,Jorge Octavio",3,0.0,"Lensar, Inc.",2,0,1,"Colonia Alborada, MX",2017 - 2023,2017,2023,41.0,HOMBRE,LICENCIATURA COMO MÉDICO CIRUJANO,UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA,1.0,376221,1976.0,,,,,,,,,0.0,,,Mexicana
Jorge Rafael Lozada Ramirez,"Lozada Ramirez,Jorge Rafael",3,0.0,PACCAR Inc,4,1,3,"Coyotepec, MX",2022 - 2023,2022,2023,23.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS ,0.0,2966303,1999.0,,,,,,,,,0.0,,,Mexicana
Jorge Santisteban,"Santisteban,Jorge",3,48.0,Polytec GmbH,7,0,3,"Los Reyes de Juárez, MX",2002 - 2011,2002,2011,,Hombre,,,,,,,,,,,,,,,,,
Jorge Selim Asaff Arancibia,"Asaff Arancibia,Jorge Selim",3,0.0,"LABORATORIOS MINKAB, S.A. DE C.V.",5,1,0,"Jalisco, MX",2017 - 2018,2017,2018,10.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO INDUSTRIAL,INSTITUTO POLITÉCNICO NACIONAL,1.0,5367423,2007.0,MAESTRÍA EN ADMINISTRACIÓN/MAESTRÍA EN CIENCIA DE MATERIALES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO/UNIVERSIDAD DE GUADALAJARA,7386407/9954593,2012/2016,,,,,1.0,,,Mexicana
Jorge Silvestre Guerra Meza,"Guerra Meza,Jorge Silvestre",3,12.0,"Ford Global Technologies, LLC",18,0,0,"Cuautitlán Izcalli, MX",2016 - 2019,2016,2019,18.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL EN ELÉCTRICA,INSTITUTO TECNOLÓGICO DE PUEBLA (I.T.R.),1.0,2640355,1998.0,,,,,,,,,0.0,,,Mexicana
Jose Alberto Davila Aleman,"Davila Aleman,Jose Alberto",3,3.0,Aptiv Technologies AG,1,0,1,"Saltillo, MX",2020 - 2022,2020,2022,4.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,9779139,2016.0,MAESTRÍA EN INGENIERÍA AVANZADA EN DEPORTES DE MOTOR,CRANFIELD UNIVERSITY,,2022,,,,,1.0,MERCEDES,DIGITAL TOOLCHAIN ENGINEER,Mexicana
Jose Angel Avalos Barcenas,"Avalos Barcenas,Jose Angel",3,83.0,"Whirlpool Mexico, S.A. de C.V.",1,0,0,"Chicoloapan, MX",2004 - 2007,2004,2007,14.0,HOMBRE,LICENCIATURA EN ARQUITECTURA URBANISTA,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ,1.0,1439540,1990.0,MAESTRÍA EN DISEÑO Y DESARROLLO DE NUEVOS PRODUCTOS,UNIVERSIDAD DE GUADALAJARA,6628845,2010,,,,,1.0,COMERCIAL ACROS,MANAGER,Mexicana
Jose Antonio D Munoz Moya,"Munoz Moya,Jose Antonio D",3,27.0,Instituto Mexicano del Petróleo,9,0,0,"Mexico City, MX",2010 - 2018,2010,2018,15.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA ,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,2099695,1995.0,MAESTRÍA EN INGENIERÍA QUÍMICA (INGENIERÍA DE PROYECTOS),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO ,3240143,2000,DOCTORADO EN INGENIERÍA ,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO ,4227486,2004,1.0,,,Mexicana
Jose Arturo Lona Santoyo,"Lona Santoyo,Jose Arturo",3,31.0,Monrovia Growers,4,0,0,"Querétaro, MX",2007 - 2013,2007,2013,2.0,HOMBRE,LICENCIATURA COMO INGENIERO INDUSTRIAL MECÁNICO,INSTITUTO TECNOLÓGICO DE QUERÉTARO (I.T.R.),1.0,4468839,2005.0,,,,,,,,,0.0,,,Mexicana
Jose De Jesus Camarena Villasenor,"Camarena Villasenor,Jose De Jesus",3,0.0,Jose De Jesus Camarena Villaseñor,0,0,0,"Ixtlahuacán del Río, MX",2007 - 2009,2007,2009,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL,UNIVERSIDAD DE GUADALAJARA,1.0,2571650,1997.0,,,,,,,,,0.0,,,Mexicana
Jose Eduardo Pena Martinez,"Pena Martinez,Jose Eduardo",3,0.0,"Fresenius Medical Care Holdings, Inc.",9,0,3,"Reynosa, MX",2017 - 2023,2017,2023,2.0,HOMBRE,LICENCIATURA EN INGENIERO MECÁNICO Y ELÉCTRICO,INSTITUTO INTERNACIONAL DE ESTUDIOS SUPERIORES,0.0,9128770,2015.0,,,,,,,,,0.0,,,Mexicana
Jose Guadalupe GARZA MONTEMAYOR,"GARZA MONTEMAYOR,Jose Guadalupe",3,6.0,,1,0,0,"El Control, MX",2016 - 2019,2016,2019,33.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN ELECTRÓNICA Y COMUNICACIONES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,851081,1983.0,,,,,,,,,0.0,PROLAMSA,PRESIDENTE,Mexicana
Jose Guerra,"Guerra,Jose",3,135.0,Delphi Technologies,3,0,3,"Izamal, MX",2003 - 2007,2003,2007,,Hombre,,,,,,,,,,,,,,,,,
Jose Gustavo Cabrera Aquino,"Cabrera Aquino,Jose Gustavo",3,18.0,"Global Bio Therapeutics, Inc.",6,1,2,"Mexico City, MX",2017 - 2022,2017,2022,24.0,HOMBRE,LICENCIATURA COMO MÉDICO CIRUJANO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1838792,1993.0,,,,,,,,,0.0,,,Mexicana
Jose J Galicia,"J Galicia,Jose",3,1.0,Delphi Technologies,4,0,2,"La Y Griega, MX",2015 - 2017,2015,2017,,Hombre,,,,,,,,,,,,,,,,,
Jose Jonathan Salazar Loera,"Salazar Loera,Jose Jonathan",3,3.0,GM GLOBAL TECHNOLOGY OPERATIONS LLC,5,0,0,"Aguascalientes, MX",2018 - 2019,2018,2019,4.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,1.0,8760156,2014.0,,,,,,,,,0.0,,,Mexicana
Jose L Sandoval,"L Sandoval,Jose",3,22.0,"MOYNO, INC.",7,0,3,"Tijuana, MX",1994 - 2013,1994,2013,,Hombre,,,,,,,,,,,,,,,,,
Jose Landa,"Landa,Jose",3,12.0,"GRUPO BIMBO, S.A.B. DE C.V.",0,0,0,"Toluca, MX",1999 - 2012,1999,2012,,Hombre,,,,,,,,,,,,,,,,,
Jose Luis Cano Dominguez,"Cano Dominguez,Jose Luis",3,1.0,Instituto Mexicano del Petróleo,10,0,0,"Xico, MX",2013 - 2018,2013,2018,37.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,377357,1976.0,,,,,,,,,1.0,,,Mexicana
Jose Luis Lorente Adame,"Luis Lorente Adame,Jose",3,88.0,Greatbatch Ltd.,11,0,3,"Tijuana, MX",2011 - 2015,2011,2015,,Hombre,,,,,,,,,,,,,,,,,
Jose Luis Martinez Carballido,"Martinez Carballido,Jose Luis",3,16.0,"Fabricas Monterrey, S.A. DE C.V.",0,0,0,"El Control, MX",2003 - 2012,2003,2012,11.0,HOMBRE,LICENCIATURA EN CIENCIAS QUÍMICAS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,1680608,1992.0,,,,,,,,,0.0,,,Mexicana
Jose Luis Morales Martinez,"Morales Martinez,Jose Luis",3,10.0,,1,0,0,"Puebla, MX",2018 - 2018,2018,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose Luis Rodolfo Benitez Aguilar,"Benitez Aguilar,Jose Luis Rodolfo",3,6.0,Instituto Mexicano del Petróleo,10,1,0,"Mexico City, MX",2018 - 2020,2018,2020,28.0,HOMBRE,LICENCIATURA COMO QUÍMICO INDUSTRIAL,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,1439418,1990.0,MAESTRÍA EN QUÍMICA,UNIVERSIDAD AUTÓNOMA METROPOLITANA,2711635,1998,DOCTORADO EN CIENCIAS,UNIVERSIDAD AUTÓNOMA METROPOLITANA,3339583,2001,1.0,,,Mexicana
Jose Luis Tavares Cortes,"Tavares Cortes,Jose Luis",3,1.0,"Vidrio Plano de México, S.A. de C.V.",5,0,0,"Apodaca, MX",2019 - 2022,2019,2022,8.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,7113404,2011.0,MAESTRÍA EN INGENIERÍA DEL PRODUCTO,UNIVERSIDAD DE MONTERREY,11210968,2018,,,,,1.0,,Value Added Flat Glass Consultant,Mexicana
Jose Manuel Guzman Colin,"Guzman Colin,Jose Manuel",3,0.0,"Ford Global Technologies, LLC",6,0,0,"Irapuato, MX",2019 - 2020,2019,2020,9.0,HOMBRE,LICENCIATURA COMO INGENIERO EN ROBÓTICA INDUSTRIAL,INSTITUTO POLITÉCNICO NACIONAL,1.0,6472450,2010.0,,,,,,,,,0.0,,,Mexicana
Jose Marie Maurice Julien Fripiat,"Julien Fripiat,Jose Marie Maurice",3,2.0,Instituto Mexicano del Petróleo,8,1,0,"Mexico City, MX",2014 - 2019,2014,2019,,Hombre,,,,,,,,,,,,,,,,,
Jose Martinez Sanchez,"Martinez Sanchez,Jose",3,7.0,"CORNING OPTICAL COMMUNICATIONS RF, LLC",5,2,3,"Naucalpan, MX",2018 - 2020,2018,2020,,Hombre,,,,,,,,,,,,,,,,,
Jose Medina,"Medina,Jose",3,21.0,"Open Access Technology International, Inc.",10,0,3,"Silao, MX",2012 - 2019,2012,2019,,Hombre,,,,,,,,,,,,,,,,,
Jose Miguel Lazcano Seres,"Miguel Lazcano Seres,Jose",3,0.0,Signa S.A. de C.V.,16,0,0,"Calimaya de Díaz González, MX",2015 - 2017,2015,2017,39.0,HOMBRE,LICENCIATURA COMO QUÍMICO FARMACÉUTICO BIÓLOGO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,376155,1976.0,MAESTRÍA EN CIENCIAS QUÍMICAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,644345,1980,,,,,1.0,,,Mexicana
Jose Octavio SANCHEZ RODRIGUEZ,"SANCHEZ RODRIGUEZ,Jose Octavio",3,31.0,"Jose Sanchez Penate, S.A.",1,0,1,"Jalisco, MX",1993 - 2022,1993,2022,,Hombre,,,,,,,,,,,,,,,,,
Jose Oscar Mascorro Gallardo,"Oscar Mascorro Gallardo,Jose",3,2.0,VLAAMS INTERUNIVERSITAIR INSTITUUT VOOR…,5,0,0,"Tlaltizapan, MX",2005 - 2014,2005,2014,19.0,HOMBRE,LICENCIATURA EN INGENIERÍA AGRÍCOLA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1074529,1986.0,MAESTRÍA EN CIENCIAS,COLEGIO DE POSTGRADUADOS,2947272,1999,DOCTORADO EN BIOTECNOLOGÍA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,3242946,2001,1.0,,,Mexicana
Jose Rafael Gomez,"Rafael Gomez,Jose",3,0.0,Monsanto Technology LLC,11,0,2,"Zapopan, MX",2019 - 2023,2019,2023,,Hombre,,,,,,,,,,,,,,,,,
Jose Ramon Gachuz Navarro,"Gachuz Navarro,Jose Ramon",3,6.0,"Ford Global Technologies, LLC",3,1,0,"Cuautitlán Izcalli, MX",2019 - 2020,2019,2020,4.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECATRÓNICA,UNIVERSIDAD TECNOLÓGICA DE MÉXICO ,0.0,8943346,2015.0,,,,,,,,,0.0,,,Mexicana
Jose Ramon Garcia Martinez,"Garcia Martinez,Jose Ramon",3,13.0,FUNDACION TECNALIA RESEARCH & INNOVATION,12,0,3,"Querétaro, MX",2014 - 2023,2014,2023,4.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,UNIVERSIDAD VALLE DEL BRAVO,0.0,6319654,2010.0,,,,,,,,,0.0,TECNALIA,PROJECT MANAGER,Mexicana
Jose Ramon Martinez Ramirez,"Martinez Ramirez,Jose Ramon",3,3.0,"Schweitzer Engineering Laboratories, Inc.",7,0,0,"San Luis Potosí, MX",2017 - 2020,2017,2020,11.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,INSTITUTO TECNOLÓGICO DE SAN LUIS POTOSÍ (I.T.R.),1.0,4689180,2006.0,,,,,,,,,0.0,,,Mexicana
Jose Ramon Molina,"Jaramillo Jacob,Alicia del Rayo",3,47.0,"Redi-Bilt Homes, Inc.",2,0,0,"Tlalnepantla, MX",1998 - 2018,1998,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose Rene Linan,"Rene Linan,Jose",3,27.0,DEERE & COMPANY,10,0,1,"Ramos Arizpe, MX",2016 - 2018,2016,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose Ricardo Trolle Lara,"Trolle Lara,Jose Ricardo",3,1.0,"Ford Global Technologies, LLC",2,0,0,"Mexico City, MX",2019 - 2022,2019,2022,7.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,7531128,2012.0,,,,,,,,,0.0,,,Mexicana
Jose Roberto Aguilar Ante,"Aguilar Ante,Jose Roberto",3,11.0,"Rohr, Inc.",4,0,1,"Mexicali, MX",2012 - 2024,2012,2024,4.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5506248,2008.0,MAESTRÍA EN CIENCIAS EN DISEÑO Y PROCESOS DE MANUFACTURA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,6715039,2010,,,,,1.0,COLLINS AEROSPACE,EQUIPMENT ENGINEER,Mexicana
Jose Velazquez,"Velazquez,Jose",3,14.0,Dielpromex S.A. de C.V.,3,0,3,"Hermosillo, MX",1989 - 2003,1989,2003,,Hombre,,,,,,,,,,,,,,,,,
Jose Adalberto Teran Matus,"Teran Matus,Jose Adalberto",3,47.0,"RFID MEXICO, S.A. DE C.V.",5,0,0,"San Mateo del Mar, MX",2011 - 2012,2011,2012,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3904860,2003.0,,,,,,,,,0.0,,,Mexicana
Juan Alberto Juarez Garcia,"Juarez Garcia,Juan Alberto",3,0.0,"Mexichem Fluor, Sociedad Anonima de Capical Variable",5,1,1,"San Luis Potosí, MX",2000 - 2023,2000,2023,11.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA Y DE SISTEMAS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,1403089,1989.0,,,,,,,,,0.0,KOURA GLOBAL,SENIOR PROCESS DEVELOPMENT ENGINEER,Mexicana
Juan Antonio Leon Navarro,"Leon Navarro,Juan Antonio",3,2.0,Colgate-Palmolive Company,3,1,0,"Copoya, MX",2017 - 2021,2017,2021,10.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO ,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,5242925,2007.0,,,,,,,,,0.0,,,Mexicana
Juan Carlos Catana,"Carlos Catana,Juan",3,0.0,"Hewlett-Packard Development Company, L.P.",5,0,3,"Guadalajara, MX",2022 - 2022,2022,2022,,Hombre,,,,,,,,,,,,,,,,,
Juan Carlos Martinez Laurent,"Martinez Laurent,Juan Carlos",3,15.0,"Ford Global Technologies, LLC",6,0,0,"Toluca, MX",2016 - 2017,2016,2017,13.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ADMINISTRADOR,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3817481,2003.0,MAESTRÍA EN INGENIERÍA AUTOMOTRÍZ,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,6951998,2011,,,,,1.0,,,Mexicana
Juan Carlos Reyes Martinez,"Reyes Martinez,Juan Carlos",3,4.0,ORACLE INTERNATIONAL CORPORATION,6,0,1,"Zapopan, MX",2018 - 2021,2018,2021,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALE,UNIVERSIDAD TECNOLÓGICA DE MÉXICO ,0.0,6504014,2010.0,,,,,,,,,0.0,,,Mexicana
Juan Cruz,"Cruz,Juan",3,34.0,"COSENTINO, S.A.",4,0,3,"Tlaquepaque, MX",2010 - 2019,2010,2019,,Hombre,,,,,,,,,,,,,,,,,
Juan Domingo Beckmann Legorreta,"Beckmann Legorreta,Juan Domingo",3,9.0,Maestro Tequilero S.A. DE C.V.,0,0,0,"Mexico City, MX",2021 - 2021,2021,2021,3.0,HOMBRE,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,UNIVERSIDAD ANÁHUAC,0.0,11211742,2018.0,,,,,,,,,0.0,EMPORIO TEQUILERO,CEO,Mexicana
Juan Francisco Garcia Navarro,"Garcia Navarro,Juan Francisco",3,4.0,ORACLE INTERNATIONAL CORPORATION,5,0,3,"Jalisco, MX",2017 - 2023,2017,2023,15.0,HOMBRE,LICENCIATURA EN COMPUTACIÓN,UNIVERSIDAD AUTÓNOMA METROPOLITANA,1.0,3746004,2002.0,MAESTRÍA EN INGENIERÍA EN COMPUTACIÓN ,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO ,4818336,2006,,,,,1.0,,,Mexicana
Juan Francisco Mojica Briseno,"Francisco Mojica Briseno,Juan",3,32.0,"Tenedora Nemak, S.A. de C.V.",2,0,0,"San Mateo del Mar, MX",1999 - 2011,1999,2011,,Hombre,,,,,,,,,,,,,,,,,
Juan Hernandez,"Hernandez,Juan",3,,,,,,"Chihuahua, MX",1992 - 2021,1992,2021,,,,,,,,,,,,,,,,,,,
Juan Javier Gaytan,"Javier Gaytan,Juan",3,39.0,,0,0,0,"Monterrey, MX",2000 - 2001,2000,2001,,Hombre,,,,,,,,,,,,,,,,,
Juan Jose Rodriguez Salinas,"Rodriguez Salinas,Juan Jose",3,1.0,"Siemens Industry, Inc.",6,1,0,"Monterrey, MX",2019 - 2020,2019,2020,20.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN CONTROL Y COMPUTACIÓN,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,2939747,1999.0,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA ELÉCTRICA CON ESP EN CONTROL,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,3760320,2002,,,,,1.0,TECNOLÓGICO DE MONTERREY,DIRECTOR ASOCIADO DEL DEPARTAMENTO DE MÉCANICA Y MATERIALES AVANZADOS,Mexicana
Juan Lopez De Silanes,"De Silanes,Juan Lopez",3,9.0,"Instituto Bioclon, S.A. DE C.V.",4,1,0,"Xico, MX",2004 - 2013,2004,2013,,Hombre,,,,,,,,,,,,,,,,,
Juan Manuel Avila Barriga,"Avila Barriga,Juan Manuel",3,53.0,Sabritas S. de R.L. de C.V.,1,1,0,"Villa de Cos, MX",2008 - 2010,2008,2010,,Hombre,,,,,,,,,,,,,,,,,
Juan Manuel Cruz Alcaraz,"Cruz Alcaraz,Juan Manuel",3,0.0,Intel Corporation,1,0,0,"Zapopan, MX",2018 - 2020,2018,2020,15.0,HOMBRE,LICENCIATURA COMO INGENIERO EN SISTEMAS COMPUTACIONALES,INSTITUTO POLITÉCNICO NACIONAL,1.0,3985797,2003.0,MAESTRÍA EN CIENCIA EN LA ESPECIALIDAD DE INGENIERÍA ELÉCTRICA,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS ,6358781,2010,,,,,1.0,ORACLE,ENGINEERING MANAGER,Mexicana
Juan Navarrete Bolanos,"Navarrete Bolanos,Juan",3,0.0,Instituto Mexicano del Petróleo,9,1,0,"Mexico City, MX",2017 - 2022,2017,2022,,Hombre,,,,,,,,,,,,,,,,,
