Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Michael G Leffert,"Leffert,Michael G",6,,,,,,"Howell, US",2013-2023,2013,2023,,,,,,,,,,,,,,,,,,,
Michael Shawn Watterworth,"Watterworth,Michael Shawn",6,,,,,,"Riverview, US",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Mingyuan Liu,"Liu,Mingyuan",6,,,,,,"Changchun, CN",2011-2023,2011,2023,,,,,,,,,,,,,,,,,,,
Mohamed Sherif Mohamed Mostafa El Eskandarany,"El Eskandarany,Mohamed Sherif Mohamed Mostafa",6,,,,,,"Aljwadea, SY",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Moin Shafai,"Shafai,Moin",6,,,,,,"Plano, US",2023-2024,2023,2024,,,,,,,,,,,,,,,,,,,
Mustafa H Haswarey,"Haswarey,Mustafa H",6,,,,,,"Tigard, US",2013-2023,2013,2023,,,,,,,,,,,,,,,,,,,
Nathan Adams,"Adams,Nathan",6,,,,,,"Littleton, US",1998-2021,1998,2021,,,,,,,,,,,,,,,,,,,
Neal Pugh,"Pugh,Neal",6,,,,,,"Taunton, US",2000-2011,2000,2011,,,,,,,,,,,,,,,,,,,
Neil Goodman,"Goodman,Neil",6,,,,,,"San Rafael, US",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Nial James Wykes,"Wykes,Nial James",6,,,,,,"Troy, US",2006-2023,2006,2023,,,,,,,,,,,,,,,,,,,
Nicola Piccirillo,"Piccirillo,Nicola",6,,,,,,"Scotia, US",2006-2015,2006,2015,,,,,,,,,,,,,,,,,,,
Olufemi B Oluwafemi,"Oluwafemi,Olufemi B",6,,,,,,"Hillsboro, US",2009-2021,2009,2021,,,,,,,,,,,,,,,,,,,
Oscar Fernandez,"Fernandez,Oscar",6,,,,,,"Plain City, US",2014-2023,2014,2023,,,,,,,,,,,,,,,,,,,
Otis Allen,"Allen,Otis",6,,,,,,"Soquel, US",1976-2023,1976,2023,,,,,,,,,,,,,,,,,,,
Ozhan Karacal,"Karacal,Ozhan",6,,,,,,"San Diego, US",2012-2019,2012,2019,,,,,,,,,,,,,,,,,,,
Patrick G Carre,"Carre,Patrick G",6,,,,,,"La Buisse, FR",1991-2017,1991,2017,,,,,,,,,,,,,,,,,,,
Paul A Turner,"Turner,Paul A",6,,,,,,"Milwaukee, US",2014-2021,2014,2021,,,,,,,,,,,,,,,,,,,
Paulo Focassio,"Focassio,Paulo",6,,,,,,"São Paulo, BR",2014-2023,2014,2023,,,,,,,,,,,,,,,,,,,
Peter Barthen,"Barthen,Peter",6,,,,,,"Rheinberg, DE",2002-2020,2002,2020,,,,,,,,,,,,,,,,,,,
Peter K Kramer,"Kramer,Peter K",6,,,,,,"Mexico City, MX",1985-2023,1985,2023,,,,,,,,,,,,,,,,,,,
Rafael Gonzalez,"Gonzalez,Rafael",6,,,,,,"Mexico City, MX",2004-2022,2004,2022,,,,,,,,,,,,,,,,,,,
Rafael PEREZ,"PEREZ,Rafael",6,,,,,,"Ixtlahuacán del Río, MX",1988-2024,1988,2024,,,,,,,,,,,,,,,,,,,
Rafael Vargas,"Vargas,Rafael",6,,,,,,"Teloloapan, MX",2010-2023,2010,2023,,,,,,,,,,,,,,,,,,,
Rahul Kothari,"Kothari,Rahul",6,,,,,,"Washington, US",2005-2024,2005,2024,,,,,,,,,,,,,,,,,,,
Rajat Majumder,"Majumder,Rajat",6,,,,,,"Raleigh, US",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
Randall Charles Boehm,"Boehm,Randall Charles",6,,,,,,"Cincinnati, US",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Randy L Siebels,"Siebels,Randy L",6,,,,,,"Cedar Rapids, US",1997-2012,1997,2012,,,,,,,,,,,,,,,,,,,
Ranganath Krishnan,"Krishnan,Ranganath",6,,,,,,"Hillsboro, US",2019-2024,2019,2024,,,,,,,,,,,,,,,,,,,
Rebecca Ann Miller,"Miller,Rebecca Ann",6,,,,,,"San Francisco, US",1996-2002,1996,2002,,,,,,,,,,,,,,,,,,,
Reinhard Herdegen,"Herdegen,Reinhard",6,,,,,,"Amberg, DE",1997-2019,1997,2019,,,,,,,,,,,,,,,,,,,
Reinhard Steger,"Steger,Reinhard",6,,,,,,"Sulzbach-Rosenberg, DE",1995-2023,1995,2023,,,,,,,,,,,,,,,,,,,
Rene Barrera,"Barrera,Rene",6,,,,,,"Candelaria, MX",2002-2023,2002,2023,,,,,,,,,,,,,,,,,,,
Robert Clark,"Clark,Robert",6,,,,,,"Cincinnati, US",1995-2023,1995,2023,,,,,,,,,,,,,,,,,,,
Robert Milne,"Milne,Robert",6,,,,,,"Sterling Heights, US",1999-2020,1999,2020,,,,,,,,,,,,,,,,,,,
Russ Pollman,"Pollman,Russ",6,,,,,,"Pomona, US",1999-2011,1999,2011,,,,,,,,,,,,,,,,,,,
Sachin Patil,"Patil,Sachin",6,,,,,,"Puebla, MX",2019-2023,2019,2023,,,,,,,,,,,,,,,,,,,
Sandeep Gangundi,"Gangundi,Sandeep",6,,,,,,"Milpitas, US",2021-2024,2021,2024,,,,,,,,,,,,,,,,,,,
Sergio Corona Galvan,"Corona Galvan,Sergio",6,,,,,,"Las Rozas, ES",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Sergio Escobar,"Escobar,Sergio",6,,,,,,"Ocoyoacac, MX",2004-2023,2004,2023,,,,,,,,,,,,,,,,,,,
Shai Joshua Lawit,"Lawit,Shai Joshua",6,,,,,,"Johnston, US",2009-2024,2009,2024,,,,,,,,,,,,,,,,,,,
Sheena Leigh Ritchie,"Ritchie,Sheena Leigh",6,,,,,,"Shepherdsville, US",2007-2012,2007,2012,,,,,,,,,,,,,,,,,,,
Shelby Ferguson,"Ferguson,Shelby",6,,,,,,"Hillsboro, US",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Sheldon A K Lewis,"Lewis,Sheldon A K",6,,,,,,"Jalisco, MX",2020-2022,2020,2022,,,,,,,,,,,,,,,,,,,
Sheri Lynn Patterson,"Patterson,Sheri Lynn",6,,,,,,"Greentown, US",1997-2003,1997,2003,,,,,,,,,,,,,,,,,,,
Sheven Sharp,"Sharp,Sheven",6,,,,,,"Troy, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Souichi Fujiwara,"Fujiwara,Souichi",6,,,,,,"Yokohama, JP",2011-2021,2011,2021,,,,,,,,,,,,,,,,,,,
Stephen W Straub,"Straub,Stephen W",6,,,,,,"Louisville, US",1990-2016,1990,2016,,,,,,,,,,,,,,,,,,,
Tahmidur Rahman,"Rahman,Tahmidur",6,,,,,,"Canton, US",2014-2021,2014,2021,,,,,,,,,,,,,,,,,,,
Terrell Michael Brace,"Brace,Terrell Michael",6,,,,,,"Ada, US",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
Tetsuya Matsusaki,"Matsusaki,Tetsuya",6,,,,,,"Yokohama, JP",2004-2015,2004,2015,,,,,,,,,,,,,,,,,,,
Thomas A Thigpen,"Thigpen,Thomas A",6,,,,,,"Meadowlark Drive, US",2014-2023,2014,2023,,,,,,,,,,,,,,,,,,,
Thomas Gersten,"Gersten,Thomas",6,,,,,,"San Diego, US",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Thomas Michael Banas,"Banas,Thomas Michael",6,,,,,,"Kernersville, US",2007-2019,2007,2019,,,,,,,,,,,,,,,,,,,
Thomas Mudra,"Mudra,Thomas",6,,,,,,"Burgkirchen an der Alz, DE",2007-2013,2007,2013,,,,,,,,,,,,,,,,,,,
Tim Richter,"Richter,Tim",6,,,,,,"Shanghai, CN",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Timothy S Cline,"Cline,Timothy S",6,,,,,,"Granite Falls, US",2012-2017,2012,2017,,,,,,,,,,,,,,,,,,,
Tobias Kain,"Kain,Tobias",6,,,,,,"Bach, AT",2022-2023,2022,2023,,,,,,,,,,,,,,,,,,,
Todd Aeschliman,"Aeschliman,Todd",6,,,,,,"Ottumwa, US",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
Torben Funder Kristensen,"Funder Kristensen,Torben",6,,,,,,"Sweetgum Street, DK",2004-2016,2004,2016,,,,,,,,,,,,,,,,,,,
Toussaint Carpenter,"Carpenter,Toussaint",6,,,,,,"Dearborn, US",2019-2023,2019,2023,,,,,,,,,,,,,,,,,,,
Truett Ramsey Thompson,"Thompson,Truett Ramsey",6,,,,,,"Raleigh, US",2005-2022,2005,2022,,,,,,,,,,,,,,,,,,,
Tyler Glen Christiansen,"Christiansen,Tyler Glen",6,,,,,,"Pleasant View, US",2014-2023,2014,2023,,,,,,,,,,,,,,,,,,,
Vaibhav Vohra,"Vohra,Vaibhav",6,,,,,,"San Ramon, US",2017-2022,2017,2022,,,,,,,,,,,,,,,,,,,
Victoriano Zamora,"Zamora,Victoriano",6,,,,,,"El Control, MX",1999-2001,1999,2001,,,,,,,,,,,,,,,,,,,
Vincent Sanchis,"Sanchis,Vincent",6,,,,,,"Paris, FR",1998-2005,1998,2005,,,,,,,,,,,,,,,,,,,
Vuokko Tuulikki Lantz,"Lantz,Vuokko Tuulikki",6,,,,,,"Vantaa, FI",2011-2020,2011,2020,,,,,,,,,,,,,,,,,,,
Wayne David Picard,"Picard,Wayne David",6,,,,,,"Houston, US",1994-2012,1994,2012,,,,,,,,,,,,,,,,,,,
Wayne Swoyer Kauffman III,"Kauffman, III,Wayne Swoyer",6,,,,,,"Oak Park, US",2019-2023,2019,2023,,,,,,,,,,,,,,,,,,,
Wesley Alan Fujii,"Fujii,Wesley Alan",6,,,,,,"Boise, US",2000-2011,2000,2011,,,,,,,,,,,,,,,,,,,
William J Dawson,"Dawson,William J",6,,,,,,"El Rosario, MX",2014-2023,2014,2023,,,,,,,,,,,,,,,,,,,
William Maholick,"Maholick,William",6,,,,,,"Erie, US",2013-2015,2013,2015,,,,,,,,,,,,,,,,,,,
Yevgeniya Sosonkina,"Sosonkina,Yevgeniya",6,,,,,,"Birmingham, US",2004-2019,2004,2019,,,,,,,,,,,,,,,,,,,
Yimin She,"She,Yimin",6,,,,,,"Farmington Hills, US",2012-2014,2012,2014,,,,,,,,,,,,,,,,,,,
Zachary J Brown,"Brown,Zachary J",6,,,,,,"Austin, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Zhanpan Zhang,"Zhang,Zhanpan",6,,,,,,"Niskayuna, US",2017-2023,2017,2023,,,,,,,,,,,,,,,,,,,
Jose Macias Galarza,"Macias Galarza,Jose",5,168.0,Rain Bird Corporation,7,0,3,"Tijuana, MX",2008 - 2023,2008,2023,14.0,Hombre,LICENCIATURA EN INGENIERÍA EN ELECTRÓNICA,INSTITUTO TECNOLÓGICO DE DURANGO (I.T.R.),1.0,2014007,1994.0,,,,,,,,,0.0,,,Mexicana
Jose Cherem Haber,"Cherem Haber,Jose",5,161.0,,0,0,0,"Mexico City, MX",2004 - 2012,2004,2012,47.0,HOMBRE,LICENCIATURA EN INGENIERÍA CIVIL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,63546,1957.0,,,,,,,,Instituto Mexicano del Petróleo,0.0,investigador en el Instituto Mexicano del Petróleo (IMP),,Mexicana
Gerardo Plata Contreras,"Plata Contreras,Gerardo",5,153.0,General Electric Company,16,0,3,"Querétaro, MX",2014 - 2024,2014,2024,12.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO,INSTITUTO POLITÉCNICO NACIONAL,1.0,3433197,2002.0,,,,,,,,,0.0,,,Mexicana
Ari Syrquin Jamson,"Syrquin Jamson,Ari",5,126.0,"Plasticos Y Tecnologia, S.A. De C.V.",0,0,0,"Mexico City, MX",2003 - 2008,2003,2008,7.0,HOMBRE,LICENCIATURA EN ADMINISTRACIÓN,INSTITUTO TECNOLÓGICO AUTÓNOMO DE MÉXICO,0.0,2352010,1996.0,,,,,,,,,0.0,,,Mexicana
Arturo Echanove Hernandez,"Echanove Hernandez,Arturo",5,125.0,Arturo Echanove Hernandez,1,0,0,"Mexico City, MX",2003 - 2014,2003,2014,,Hombre,,,,,,,,,,,,,,,,,Mexicana
Jose Rodriguez,"Rodriguez,Jose",5,110.0,Deutsche Thomson-Brandt GmbH,5,0,3,"Juarez, MX",1984 - 2017,1984,2017,,Hombre,,,,,,,,,,,,,,,,,
Jose Angel Avalos Barcenas,"Angel Avalos Barcenas,Jose",5,108.0,Comercial Acros Whirlpool S.A. De C.V.,10,0,1,"Moctezuma, MX",2002 - 2003,2002,2003,12.0,HOMBRE,LICENCIATURA EN ARQUITECTURA URBANISTA,UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ,1.0,1439540,1990.0,MAESTRÍA EN DISEÑO Y DESARROLLO DE NUEVOS PRODUCTOS,UNIVERSIDAD DE GUADALAJARA,6628845,2010,,,,,1.0,,,Mexicana
Annita Tomko,"Tomko,Annita",5,103.0,International Business Machines Corporation,14,0,2,"Jalisco, MX",2015 - 2021,2015,2021,24.0,MUJER,Licenciatura en ingeniería en sistemas,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,0.0,,1991.0,,,,,,,,,0.0,IBM,Senior Information Technology Manager,Mexicana
Jose Fernandez,"Fernandez,Jose",5,96.0,Universidad de Antioquia,3,0,0,"San Nicolás de los Garza, MX",1994 - 2020,1994,2020,,HOMBRE,,,,,,,,,,,,,,,,,Mexicana
Juan Celada Gonzalez,"Celada Gonzalez,Juan",5,72.0,"Hylsa, S.A. DE C.V.",11,0,0,"El Control, MX",1999 - 2005,1999,2005,,Hombre,,,,,,,,,,,,,,,,,
Gerardo Gomez Soto,"Gomez Soto,Gerardo",5,66.0,KLEVERNESS INCORPORATED,14,0,2,"Tezoyuca, MX",2000 - 2020,2000,2020,,HOMBRE,Licenciatura en ingeniería en diseño,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,,,,,,,,,,,0.0,Kleverness,Senior hardware design engineer,Mexicana
Jose Oliva,"Oliva,Jose",5,65.0,Carrier Corporation,4,0,0,"El Control, MX",1999 - 2001,1999,2001,29.0,HOMBRE,LICENCIATURA COMO INGENIRERO ELECTRICISTA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,183414,1970.0,,,,,,,,,0.0,,,Mexicana
Juan C Lozano,"C Lozano,Juan",5,60.0,Delphi Technologies,6,0,0,"Chihuahua, MX",2002 - 2007,2002,2007,18.0,HOMBRE,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,868392,1984.0,,,,,,,,,0.0,,,Mexicana
Jose A Gutierrez,"A Gutierrez,Jose",5,59.0,Infineum International Limited,11,0,3,"San Nicolás de los Garza, MX",2002 - 2022,2002,2022,,Hombre,,,,,,,,,,,,,,,,,
Arturo Garcia,"Garcia,Arturo",5,54.0,"Convertidora Industrial, S.A.B., DE C.V.",3,0,0,"Guadalupe, MX",1999 - 2014,1999,2014,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA CIVIL,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1364000,1989.0,,,,,,,,,0.0,,,Mexicana
Jose Arturo Lona Santoyo,"Lona Santoyo,Jose Arturo",5,50.0,MABE S.A. DE C.V.,3,1,0,"Yécora, MX",2013 - 2019,2013,2019,8.0,HOMBRE,LICENCIATURA COMO INGENIERO INDUSTRIAL MECÁNICO,INSTITUTO TECNOLÓGICO DE QUERÉTARO (I.T.R.),1.0,4468839,2005.0,,,,,,,,,0.0,,,Mexicana
Jose Adalberto Teran Matus,"Teran Matus,Jose Adalberto",5,48.0,"RFID MEXICO, S.A. DE C.V.",4,0,0,"San Mateo del Mar, MX",2009 - 2014,2009,2014,6.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3904860,2003.0,,,,,,,,,0.0,,,Mexicana
Jose Osawa Diaz,"Osawa Diaz,Jose",5,48.0,"FRAWA PRODUCTOS PARA LA CONSTRUCCION, S.A. DE C.V.",2,0,2,"Santiago Yancuitlalpan, MX",1981 - 2018,1981,2018,-7.0,HOMBRE,Licenciatura en Ingeniería Química,UNIVERSIDAD LA SALLE,0.0,1280032,1988.0,,,,,,,,,0.0,Frawa,Director General,Mexicana
Jose Puente,"Puente,Jose",5,48.0,Genzyme Corporation,9,0,3,"Cuernavaca, MX",2004 - 2014,2004,2014,,,,,,,,,,,,,,,,,,,
Jorge D Berrun Castanon,"D Berrun Castanon,Jorge",5,37.0,"Hylsa, S.A. DE C.V.",15,0,0,"El Control, MX",1980 - 2002,1980,2002,3.0,Hombre,LICENCIATURA COMO INGENIERO QUÍMICO EN PROCESOS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,437914,1977.0,,,,,,,,,0.0,,,Mexicana
Herbert Scheffler Hudlet,"Scheffler Hudlet,Herbert",5,35.0,"Vidrio Plano de México, S.A. de C.V.",8,0,0,"General Escobedo, MX",1999 - 2010,1999,2010,,Hombre,,,,,,,,,,,,,,,,,
Agustin Portillo Mercado,"Portillo Mercado,Agustin",5,30.0,Ansell Limited,13,0,3,"Ciudad Juárez, MX",2013 - 2020,2013,2020,12.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVESIDAD AUTÓNOMA DEL ESTADO DE MORELOS,1.0,3266927,2001.0,,,,,,,,,0.0,Sin registro,sin registro,Mexicana
Arturo Maceda,"Maceda,Arturo",5,27.0,Honeywell International Inc.,10,0,3,"Mexicali, MX",2011 - 2021,2011,2021,12.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,UNIVERSIDAD AUTÓNOMA METROPOLITANA,1.0,297428,1999.0,,,,,,,,,0.0,,,Mexicana
Felix Cruz,"Cruz,Felix",5,26.0,"Ford Global Technologies, LLC",3,0,0,"Barrio Paraiso, MX",2000 - 2022,2000,2022,,Hombre,,,,,,,,,,,,,,,,,Mexicana
Guillermo Castano,"Castano,Guillermo",5,24.0,ProTVSolutions LLC,0,0,0,"Tijuana, MX",1999 - 2020,1999,2020,9.0,HOMBRE,LICENCIATURA COMO INGENIERO INDUSTRIAL EN ELECTRÓNICA,INSTITUTO TECNOLÓGICO DE TIJUANA (I.T.R.),1.0,1457222,1990.0,,,,,,,,,0.0,,,Mexicana
Henry PENA,"PENA,Henry",5,22.0,Colgate-Palmolive Company,10,1,1,"Piedras Negras, MX",1991 - 2022,1991,2022,,HOMBRE,Bachelor of Science (BSc) (Chemistry),UNIVERSIDAD SIMÓN BOLÍVAR,0.0,,,,,,,,,,,0.0,,,VENEZOLANA
Jorge De La Fuente Farias,"La Fuente Farias,Jorge De",5,22.0,"Stucki de Mexico, S. de R.L. de C.V.",1,0,1,"San Pedro Garza García, MX",2003 - 2014,2003,2014,13.0,Hombre,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,1442119,1990.0,MAESTRÍA EN DIRECCIÓN GLOBAL DE NEGOCIOS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,10627380,,,,,,1.0,,,Mexicana
Genaro Casas Jassan,"Casas Jassan,Genaro",5,21.0,APROA ASESORES S.C.,3,0,0,"Mexico City, MX",2003 - 2022,2003,2022,22.0,HOMBRE,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,UNIVERSIDAD ANÁHUAC,0.0,656320,1981.0,,,,,,,,,0.0,,,Mexicana
Gustavo Morales Cabrera,"Morales Cabrera,Gustavo",5,19.0,"Ford Global Technologies, LLC",7,1,1,"Tlalnepantla, MX",2017 - 2020,2017,2020,5.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN MECATRÓNICA,INSTITUTO POLITÉCNICO NACIONAL,1.0,7424879,2012.0,,,,,,,,,0.0,Ford Motor Company,Crash Safety Development Engineer,Mexicana
Guillermo Alanis,"Alanis,Guillermo",5,16.0,"Ford Global Technologies, LLC",9,0,3,"Estado de México, MX",2014 - 2018,2014,2018,6.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5404371,2008.0,Science in product development,University of Detroit MRCY,,,,,,,1.0,Rivian,Senior Manager,Mexicana
Hector Alberto Mendoza Saldivar,"Mendoza Saldivar,Hector Alberto",5,16.0,"Ford Global Technologies, LLC",4,1,0,"Cuautitlán Izcalli, MX",2018 - 2021,2018,2021,10.0,HOMBRE,Licenciatura en ingeniería en sistemas computacionales en software,UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA,1.0,5679539,2008.0,,,,,,,,,0.0,Sin registro,Sin registro,Mexicana
Fernando Villavicencio,"Villavicencio,Fernando",5,14.0,"OBEN, INC.",5,0,3,"Guadalajara, MX",2016 - 2021,2016,2021,31.0,HOMBRE,LICENCIATURA COMO QUÍMICO BACTERIÓLOGO PARASITÓLOGO,PROFESIONISTAS MEXICANOS CON ESTUDIOS EN EL EXTRANJERO,0.0,1011162,1985.0,,,,,,,,,0.0,,,Mexicana
Jorge Richard Angulo,"Richard Angulo,Jorge",5,14.0,Whirlpool Corporation,4,0,0,"Celaya, MX",2017 - 2020,2017,2020,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,INSTITUTO TECNOLÓGICO DE CELAYA,1.0,5822966,2009.0,Maestria en Ciencias en Ingenieria Mecanica,Instituto Tecnologico de Celaya (I.T.R),6222213,2009,,,,,1.0,Specified Technologies Inc.,Director of Engineering,Mexicana
Francisco Javier Lujan,"Javier Lujan,Francisco",5,13.0,"INTEVA PRODUCTS, LLC",9,0,1,"Guadalupe, MX",2016 - 2018,2016,2018,,Hombre,,,,,,,,,,,,,,,,,Mexicana
Grant M Myers,"M Myers,Grant",5,13.0,"MSA Technology, LLC",10,0,2,"Querétaro, MX",2013 - 2021,2013,2021,,HOMBRE,,,,,,,,,,,,,,,,,
Franghie Rubio Khalil,"Rubio Khalil,Franghie",5,11.0,Zodiac Seats US LLC,4,1,0,"Chihuahua, MX",2013 - 2015,2013,2015,,,,,,,,,,,,,,,,,,,Mexicana
Jose Angel Vilchis Dominguez,"Vilchis Dominguez,Jose Angel",5,11.0,Zodiac Seats US LLC,4,1,1,"Chihuahua, MX",2013 - 2015,2013,2015,7.0,HOMBRE,LICENCIATURA EN INGENIERIA EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,4894015,2006.0,,,,,,,,,0.0,,,Mexicana
Albert Aguilar,"Aguilar,Albert",5,9.0,"Iddea California, LLC",1,0,0,"Zapopan, MX",1997 - 2020,1997,2020,,HOMBRE,Ingenieria Mecanica,University of illinois Chicago,0.0,,,,,,,,,,,0.0,,,Estadounidense
Jorge Morales,"Morales,Jorge",5,9.0,,0,0,0,"Chihuahua, MX",1990 - 2002,1990,2002,,HOMBRE,,,,,,,,,,,,,,,,,Mexicana
Francisco Ronquillo Melendez,"Ronquillo Melendez,Francisco",5,6.0,"Ford Global Technologies, LLC",8,0,0,"Puebla, MX",2017 - 2019,2017,2019,5.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,INSTITUTO TECNOLÓGICO DE PUEBLA (I.T.R.),1.0,7314052,2012.0,,,,,,,,,0.0,,,Mexicana
Andrea RODRIGUEZ HERNANDEZ,"RODRIGUEZ HERNANDEZ,Andrea",5,5.0,Instituto Mexicano del Petróleo,15,2,0,"Mexico City, MX",2016 - 2022,2016,2022,,Mujer,,,,,,,,,,,,,,,,,Mexicana
Jorge Francisco Ramirez Perez,"Ramirez Perez,Jorge Francisco",5,5.0,Instituto Mexicano del Petróleo,20,0,0,"Mexico City, MX",2016 - 2021,2016,2021,21.0,Hombre,LICENCIATURA EN INGENIERÍA INDUSTRIAL,UNIVERSIDAD IBEROAMERICANA,0.0,2118636,1995.0,,,,,,,,,0.0,,,Mexicana
Jose Luis Mendoza De La Cruz,"Mendoza De La Cruz,Jose Luis",5,5.0,Instituto Mexicano del Petróleo,22,2,0,"Mexico City, MX",2015 - 2017,2015,2017,,HOMBRE,,,,,,,,,,,,,,,,,Mexicana
Adolfo Mendez Morales,"Mendez Morales,Adolfo",5,4.0,International Business Machines Corporation,7,0,0,"Guadalajara, MX",2019 - 2023,2019,2023,13.0,HOMBRE,Licenciatura en ingeniería en instrumentación electrónica,UNIVERSIDAD VERACRUZANA,1.0,4824895,2006.0,,,,,,,,,0.0,Sin registro,Sin registro,Mexicana
Alberto Jose Pulido Sanchez,"Pulido Sanchez,Alberto Jose",5,4.0,"RAGASA INDUSTRIAS, S.A DE C.V.",5,0,0,"Guadalajara, MX",2014 - 2015,2014,2015,30.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,878436,1984.0,,,,,,,,,0.0,sin registro,sin registro,Mexicana
Alfonso Gonzalez Montiel,"Gonzalez Montiel,Alfonso",5,4.0,CID Centro de Investigación y Desarrollo Tecnológico S.A. de C.V.,4,2,0,"Atizapán de Zaragoza, MX",2008 - 2021,2008,2021,19.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVERSIDAD IBEROAMERICANA,0.0,1355913,1989.0,,,,,,,,,0.0,,,Mexicana
Francisco Javier Hernandez Beltran,"Hernandez Beltran,Francisco Javier",5,4.0,Instituto Mexicano del Petróleo,20,1,0,"Mexico City, MX",2011 - 2019,2011,2019,31.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,635854,1980.0,,,,,,,,,0.0,,,Mexicana
Alfonso Medellin,"Medellin,Alfonso",5,3.0,VALEO EMBRAYAGES,8,0,3,"San Luis Potosí, MX",2016 - 2019,2016,2019,,HOMBRE,,,,,,,,,,,,,,,,,
Alberto Alcocer Ochoa,"Alcocer Ochoa,Alberto",5,2.0,Intel Corporation,10,0,2,"Zapopan, MX",2012 - 2018,2012,2018,10.0,HOMBRE,LICENCIATURA EN FÍSICA Y MATEMÁTICAS,INSTITUTO POLITÉCNICO NACIONAL,1.0,3708384,2002.0,Maestria en Ingenieria Electrica,Centro de investigacion y de estudios avanzados,5175895,2007,,,,,1.0,Profesor en el tecnologico de Monterrey,Profesor,Mexicana
Gerardo Zavala Olivares,"Zavala Olivares,Gerardo",5,1.0,Instituto Mexicano del Petróleo,13,0,0,"Mexico City, MX",2020 - 2024,2020,2024,28.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO METALÚRGICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1748193,1992.0,,,,,,,,,0.0,,,Mexicana
