Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Sergio Vladimiro Marchetti Tiraboschi,"Marchetti Tiraboschi,Sergio Vladimiro",1,,,,,,"Saltillo, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Gilberto Garcia Trevino,"Garcia Trevino,Gilberto",1,,,,,,"Saltillo, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Sergio David Esquivel Alvarez,"Esquivel Alvarez,Sergio David",4,,,,,,"Gómez Palacio, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Jose Ramon Martinez Ramirez,"Martinez Ramirez,Jose Ramon",3,,,,,,"San Luis Potosí, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Hector Jaime Alba,"Alba,Hector Jaime",3,,,,,,"San Luis Potosí, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Marco Antonio Hidrogo Ordaz,"Hidrogo Ordaz,Marco Antonio",3,,,,,,"Gómez Palacio, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Carlos Baltazar Castro Maciel,"Castro Maciel,Carlos Baltazar",4,,,,,,"Soledad de Graciano Sánchez, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Gerardo Rodriguez Najera,"Rodriguez Najera,Gerardo",8,,,,,,"San Nicolás de los Garza, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Jorge Luis Soto Murrieta,"Soto Murrieta,Jorge Luis",2,,,,,,"San Luis Potosí, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Melanie Youschak,"Youschak,Melanie",2,,,,,,"Pont d'Écluse de Morey, US",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Carlos Richer,"Richer,Carlos",2,,,,,,"San Nicolás de los Garza, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Cheryl Stasny,"Stasny,Cheryl",1,,,,,,"Dallas, US",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Tatsuo Tsuneoka,"Tsuneoka,Tatsuo",2,,,,,,"Higashi Hiroshima, JP",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Masafumi Shinoda,"Shinoda,Masafumi",6,,,,,,"Hiroshima, JP",1996-2023,1996,2023,,,,,,,,,,,,,,,,,,,
Fumi HIRANO,"HIRANO,Fumi",2,,,,,,"Aki, JP",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Minoru Kimura,"Kimura,Minoru",32,,,,,,"Salamanca, MX",1978-2017,1978,2017,,,,,,,,,,,,,,,,,,,
Flavio Salvador Vazquez Moreno,"Vazquez Moreno,Flavio Salvador",23,,,,,,"Mexico City, MX",2014-2024,2014,2024,,,,,,,,,,,,,,,,,,,
Reyna Reyes Martinez,"Reyes Martinez,Reyna",5,,,,,,"Mexico City, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Alfonso LOPEZ ORTEGA,"LOPEZ ORTEGA,Alfonso",14,,,,,,"Mexico City, MX",2016-2022,2016,2022,,,,,,,,,,,,,,,,,,,
Jose Gonzalo Hernandez Cortez,"Hernandez Cortez,Jose Gonzalo",9,,,,,,"Mexico City, MX",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Eugenio Alejandro Flores Oropeza,"Flores Oropeza,Eugenio Alejandro",17,,,,,,"Mexico City, MX",2013-2019,2013,2019,,,,,,,,,,,,,,,,,,,
Arquimedes ESTRADA MARTINEZ,"ESTRADA MARTINEZ,Arquimedes",13,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Laura Veronica Castro Sotelo,"Castro Sotelo,Laura Veronica",13,,,,,,"Mexico City, MX",2014-2019,2014,2019,,,,,,,,,,,,,,,,,,,
Fernando Alvarez Ramirez,"Alvarez Ramirez,Fernando",22,,,,,,"Mexico City, MX",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Cesar Andres FLORES SANDOVAL,"FLORES SANDOVAL,Cesar Andres",16,,,,,,"Mexico City, MX",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Ricardo R Dorado,"Dorado,Ricardo R",2,,,,,,"Chihuahua, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Michael McHale,"McHale,Michael",13,,,,,,"El Paso, US",1996-2023,1996,2023,,,,,,,,,,,,,,,,,,,
Raul I Quiroz,"Quiroz,Raul I",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Jeffrey L McGrew,"McGrew,Jeffrey L",1,,,,,,"Noblesville, US",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Gary A Hiner,"Hiner,Gary A",1,,,,,,"Fishers, US",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Timothy A Vas,"Vas,Timothy A",10,,,,,,"Kokomo, US",2004-2017,2004,2017,,,,,,,,,,,,,,,,,,,
Jamie A Puente,"Puente,Jamie A",1,,,,,,"La Y Griega, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Isai Chavez,"Chavez,Isai",4,,,,,,"La Y Griega, MX",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Luis M Porras,"Porras,Luis M",9,,,,,,"La Y Griega, MX",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Salvador Sanchez,"Sanchez,Salvador",9,,,,,,"Juarez, MX",2002-2022,2002,2022,,,,,,,,,,,,,,,,,,,
Michael McHale,"McHale,Michael",13,,,,,,"El Paso, US",1996-2023,1996,2023,,,,,,,,,,,,,,,,,,,
Boris Fridman Mintz,"Fridman Mintz,Boris",4,,,,,,"Villa de Cos, MX",2015-2023,2015,2023,,,,,,,,,,,,,,,,,,,
Walter J Richards,"Richards,Walter J",5,,,,,,"Murfreesboro, US",2016-2019,2016,2019,,,,,,,,,,,,,,,,,,,
Tim Faber,"Faber,Tim",5,,,,,,"Marion, US",2001-2019,2001,2019,,,,,,,,,,,,,,,,,,,
German Romero Legorreta,"Romero Legorreta,German",4,,,,,,"Guadalupe, MX",2016-2019,2016,2019,,,,,,,,,,,,,,,,,,,
Jorge L Mireles Jasso,"Jasso,Jorge L Mireles",2,,,,,,"Coahuila, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Rafael Antonio Fematt Madinabeitia,"Madinabeitia,Rafael Antonio Fematt",2,,,,,,"Sugar Land, US",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Shaun E Harrington,"Harrington,Shaun E",55,,,,,,"Sahuarita, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Christopher B Moore,"Moore,Christopher B",58,,,,,,"Vail, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Harry R McGregor,"McGregor,Harry R",59,,,,,,"Tucson, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Emmanuel Barajas Gonzalez,"Barajas Gonzalez,Emmanuel",53,,,,,,"Guadalajara, MX",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Rodrigo Villanueva,"Villanueva,Rodrigo",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Kevin G Munoz,"Munoz,Kevin G",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Alvaro Gino De La Reza,"De La Reza,Alvaro Gino",4,,,,,,"El Paso, US",2011-2017,2011,2017,,,,,,,,,,,,,,,,,,,
Jesus R Morales,"Morales,Jesus R",13,,,,,,"Chihuahua, MX",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Rene LOYA ENRIQUEZ,"LOYA ENRIQUEZ,Rene",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Monica Elvira MENDOZA DUARTE,"MENDOZA DUARTE,Monica Elvira",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Alejandro VEGA RIOS,"VEGA RIOS,Alejandro",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Erasto Armando ZARAGOZA CONTRERAS,"ZARAGOZA CONTRERAS,Erasto Armando",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Erika Ivonne LOPEZ MARTINEZ,"LOPEZ MARTINEZ,Erika Ivonne",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Sergio Gabriel FLORES GALLARDO,"FLORES GALLARDO,Sergio Gabriel",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Grecia Andrea BUENO HERRERA,"BUENO HERRERA,Grecia Andrea",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Laura Veronica Castro Sotelo,"Castro Sotelo,Laura Veronica",13,,,,,,"Mexico City, MX",2014-2019,2014,2019,,,,,,,,,,,,,,,,,,,
Eugenio Alejandro Flores Oropeza,"Flores Oropeza,Eugenio Alejandro",17,,,,,,"Mexico City, MX",2013-2019,2013,2019,,,,,,,,,,,,,,,,,,,
Flavio Salvador Vazquez Moreno,"Vazquez Moreno,Flavio Salvador",23,,,,,,"Mexico City, MX",2014-2024,2014,2024,,,,,,,,,,,,,,,,,,,
Alfonso LOPEZ ORTEGA,"LOPEZ ORTEGA,Alfonso",14,,,,,,"Mexico City, MX",2016-2022,2016,2022,,,,,,,,,,,,,,,,,,,
Reyna Reyes Martinez,"Reyes Martinez,Reyna",5,,,,,,"Mexico City, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Fernando Alvarez Ramirez,"Alvarez Ramirez,Fernando",22,,,,,,"Mexico City, MX",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Jose Gonzalo Hernandez Cortez,"Hernandez Cortez,Jose Gonzalo",9,,,,,,"Mexico City, MX",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Arquimedes ESTRADA MARTINEZ,"ESTRADA MARTINEZ,Arquimedes",13,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Cesar Andres FLORES SANDOVAL,"FLORES SANDOVAL,Cesar Andres",16,,,,,,"Mexico City, MX",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Alan Federico Camacho Velazquez,"Camacho Velazquez,Alan Federico",3,,,,,,"Querétaro, MX",2014-2017,2014,2017,,,,,,,,,,,,,,,,,,,
Robert Bachtell,"Bachtell,Robert",3,,,,,,"Minneapolis, US",2015-2019,2015,2019,,,,,,,,,,,,,,,,,,,
Gustavo Garcia,"Garcia,Gustavo",7,,,,,,"Chihuahua, MX",1987-2019,1987,2019,,,,,,,,,,,,,,,,,,,
Timothy G Badar,"Badar,Timothy G",34,,,,,,"Redwood City, US",2013-2023,2013,2023,,,,,,,,,,,,,,,,,,,
John T Pfarr,"Pfarr,John T",31,,,,,,"Le Sueur, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Michael J Hill,"Hill,Michael J",35,,,,,,"Gilbert, US",1993-2023,1993,2023,,,,,,,,,,,,,,,,,,,
Kaladhar Radhakrishnan,"Radhakrishnan,Kaladhar",45,,,,,,"Gilbert, US",2005-2024,2005,2024,,,,,,,,,,,,,,,,,,,
Srikrishnan Venkataraman,"Venkataraman,Srikrishnan",16,,,,,,"Bengaluru, IN",2011-2022,2011,2022,,,,,,,,,,,,,,,,,,,
William J Lambert,"Lambert,William J",46,,,,,,"Chandler, US",1984-2024,1984,2024,,,,,,,,,,,,,,,,,,,
Jonathan P Douglas,"Douglas,Jonathan P",30,,,,,,"Portland, US",2002-2022,2002,2022,,,,,,,,,,,,,,,,,,,
Alexander Slepoy,"Slepoy,Alexander",13,,,,,,"Chandler, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Hector A Aguirre Diaz,"Aguirre Diaz,Hector A",2,,,,,,"Guadalajara, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Krishna Bharath,"Bharath,Krishna",32,,,,,,"Chandler, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Dong Zhong,"Zhong,Dong",26,,,,,,"Chandler, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Gabriel A Ruelas,"Ruelas,Gabriel A",4,,,,,,"Jalisco, MX",2012-2018,2012,2018,,,,,,,,,,,,,,,,,,,
Sergio Joaquin Gonzalez,"Gonzalez,Sergio Joaquin",1,,,,,,"Mexicali, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Hoang Mong Nguyen,"Nguyen,Hoang Mong",51,,,,,,"Willow View Lane, US",2015-2024,2015,2024,,,,,,,,,,,,,,,,,,,
Matthew Sean Read,"Read,Matthew Sean",41,,,,,,"Rancho Santa Margarita, US",2011-2023,2011,2023,,,,,,,,,,,,,,,,,,,
Luis Eduardo Herrera,"Herrera,Luis Eduardo",4,,,,,,"Mexicali, MX",2017-2021,2017,2021,,,,,,,,,,,,,,,,,,,
Javier Ruben Flores Cuadras,"Flores Cuadras,Javier Ruben",19,,,,,,"Tijuana, MX",2014-2024,2014,2024,,,,,,,,,,,,,,,,,,,
Ming Wei Chen,"Wei Chen,Ming",1,,,,,,"Pingzhen District, TW",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Sergio Orozco,"Orozco,Sergio",120,,,,,,"Tijuana, MX",1992-2022,1992,2022,,,,,,,,,,,,,,,,,,,
Edgar Equihua,"Equihua,Edgar",2,,,,,,"Tijuana, MX",2015-2017,2015,2017,,,,,,,,,,,,,,,,,,,
William F Bennett,"Bennett,William F",37,,,,,,"Sarasota, US",1978-2023,1978,2023,,,,,,,,,,,,,,,,,,,
Ramses Galaz Mendez,"Mendez,Ramses Galaz",7,,,,,,"Sonora, MX",2017-2023,2017,2023,,,,,,,,,,,,,,,,,,,
Daniel Francisco Gomez Romo,"Romo,Daniel Francisco Gomez",6,,,,,,"Sonora, MX",2017-2023,2017,2023,,,,,,,,,,,,,,,,,,,
Francisco Xavier Valdes Simancas,"Valdes Simancas,Francisco Xavier",2,,,,,,"Jalisco, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Jose de Jesus Delgado Carranza,"Delgado Carranza,Jose de Jesus",1,,,,,,"San Pedro Mártir, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Oscar Bautista Cid,"Bautista Cid,Oscar",7,,,,,,"Miguel Hidalgo, MX",2017-2023,2017,2023,,,,,,,,,,,,,,,,,,,
Amit Sachdev,"Sachdev,Amit",4,,,,,,"Villa de Cos, MX",1999-2017,1999,2017,,,,,,,,,,,,,,,,,,,
Jose Javier Tovar Pescador,"Pescador,Jose Javier Tovar",2,,,,,,"Miguel Hidalgo, MX",2000-2017,2000,2017,,,,,,,,,,,,,,,,,,,
Ana Acosta,"Acosta,Ana",1,,,,,,"Miguel Hidalgo, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Alejandro Munoz,"Munoz,Alejandro",2,,,,,,"Querétaro, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Carlos Vazquez,"Vazquez,Carlos",8,,,,,,"Querétaro, MX",1991-2019,1991,2019,,,,,,,,,,,,,,,,,,,
Pablo Ramirez,"Ramirez,Pablo",2,,,,,,"Querétaro, MX",2007-2017,2007,2017,,,,,,,,,,,,,,,,,,,
Mauricio MARTINEZ,"MARTINEZ,Mauricio",2,,,,,,"Querétaro, MX",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Suraj Shinde,"Shinde,Suraj",6,,,,,,"Metepec, MX",2016-2018,2016,2018,,,,,,,,,,,,,,,,,,,
Alfonso Javier Barragan Trevino,"Barragan Trevino,Alfonso Javier",9,,,,,,"Monterrey, MX",2012-2022,2012,2022,,,,,,,,,,,,,,,,,,,
James J Crow,"Crow,James J",17,,,,,,"Austin, US",1984-2022,1984,2022,,,,,,,,,,,,,,,,,,,
Alfonso Javier Barragan Rodriguez,"Barragan Rodriguez,Alfonso Javier",3,,,,,,"Monterrey, MX",2016-2019,2016,2019,,,,,,,,,,,,,,,,,,,
Francisco Rodriguez Salamanca,"Rodriguez Salamanca,Francisco",1,,,,,,"Juarez, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Arturo de Santiago Garcia,"de Santiago Garcia,Arturo",1,,,,,,"El Paso, US",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Miguel A Perez,"Perez,Miguel A",74,,,,,,"Juarez, MX",1990-2023,1990,2023,,,,,,,,,,,,,,,,,,,
Konrad S Feldman,"Feldman,Konrad S",28,,,,,,"San Francisco, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Michael R Blum,"Blum,Michael R",12,,,,,,"Piedmont, US",1985-2022,1985,2022,,,,,,,,,,,,,,,,,,,
Daniel Vogel Fernandez de Castro,"Vogel Fernandez de Castro,Daniel",16,,,,,,"Mexico City, MX",2015-2022,2015,2022,,,,,,,,,,,,,,,,,,,
Gregorio Cardoso Tapias Ceccantini,"Cardoso Tapias Ceccantini,Gregorio",2,,,,,,"São Paulo, BR",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Pedro Guillermo Angeles Alvarez,"Angeles Alvarez,Pedro Guillermo",2,,,,,,"Veracruz, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Anais Prats Capote,"Prats Capote,Anais",2,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Alberto BENCOMO MARTINEZ,"BENCOMO MARTINEZ,Alberto",1,,,,,,"Artemisa, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Isaac Fernandez Gomez,"Fernandez Gomez,Isaac",1,,,,,,"Xico, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Reyna Lara Martinez,"Lara Martinez,Reyna",1,,,,,,"Xico, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Massiel Diaz Miranda,"Diaz Miranda,Massiel",1,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Lina Andrea Rivillas Acevedo,"Rivillas Acevedo,Lina Andrea",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Marquiza SABLON CARRAZANA,"SABLON CARRAZANA,Marquiza",2,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Chryslaine Rodriguez Tanty,"Rodriguez Tanty,Chryslaine",3,,,,,,"Havana, CU",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Sergio Agustin Islas Andrade,"Islas Andrade,Sergio Agustin",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Pedro A Valdes Sosa,"Valdes Sosa,Pedro A",4,,,,,,"Havana, CU",1994-2017,1994,2017,,,,,,,,,,,,,,,,,,,
Maria Guadalupe Dominguez Macouzet,"Dominguez Macouzet,Maria Guadalupe",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Luis Felipe Jimenez Garcia,"Jimenez Garcia,Luis Felipe",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Myriam Marlene Altamirano Bustamante,"Altamirano Bustamante,Myriam Marlene",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Suchitil RIVERA MARRERO,"RIVERA MARRERO,Suchitil",2,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Julio Moran Andrade,"Moran Andrade,Julio",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Rafaela Perez Perera,"Perez Perera,Rafaela",2,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Rosa Maria Lopez Barroso,"Lopez Barroso,Rosa Maria",3,,,,,,"Havana, CU",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Fernand Vedrenne Gutierrez,"Vedrenne Gutierrez,Fernand",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Alejandro Perera Pintado,"Perera Pintado,Alejandro",2,,,,,,"Havana, CU",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Francisco Javier Quintero Perez,"Quintero Perez,Francisco Javier",5,,,,,,"Uruapan, MX",2017-2023,2017,2023,,,,,,,,,,,,,,,,,,,
Ricardo Ramos Valencia,"Ramos Valencia,Ricardo",2,,,,,,"Mexico City, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Miguel Tamay,"Tamay,Miguel",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Francisco Ronquillo,"Ronquillo,Francisco",4,,,,,,"Puebla, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
David Castro Duran,"Castro Duran,David",5,,,,,,"Estado de México, MX",2017-2021,2017,2021,,,,,,,,,,,,,,,,,,,
Enrique Granell Peniche,"Granell Peniche,Enrique",4,,,,,,"Santiago Yancuitlalpan, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Luis Humberto Soni Gutierrez,"Soni Gutierrez,Luis Humberto",4,,,,,,"Acapulco, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Fabian Moises Castro Vargas,"Castro Vargas,Fabian Moises",2,,,,,,"Coacalco, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Moises Castro Salinas,"Castro Salinas,Moises",2,,,,,,"Coacalco, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Cuahutemoc Castro Salinas,"Castro Salinas,Cuahutemoc",1,,,,,,"Coacalco, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Lili Pereyra,"Pereyra,Lili",1,,,,,,"Villa de Cos, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Steve Lawler,"Lawler,Steve",1,,,,,,"Murrieta, US",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Joseph B Borghese,"Borghese,Joseph B",5,,,,,,"Yucca Valley, US",2004-2023,2004,2023,,,,,,,,,,,,,,,,,,,
Lothar Erle,"Erle,Lothar",2,,,,,,"Kelkheim, DE",2004-2017,2004,2017,,,,,,,,,,,,,,,,,,,
Luis Roberto Togo Peraza,"Togo Peraza,Luis Roberto",2,,,,,,"Zapopan, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Shaun E Harrington,"Harrington,Shaun E",55,,,,,,"Sahuarita, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Benjamin K Rawlins,"Rawlins,Benjamin K",14,,,,,,"Tucson, US",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Emmanuel Barajas Gonzalez,"Barajas Gonzalez,Emmanuel",53,,,,,,"Guadalajara, MX",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Armando Gonzalez Valdes,"Gonzalez Valdes,Armando",1,,,,,,"Nicolas Romero, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Jazael Garzon Aztatzi,"Garzon Aztatzi,Jazael",1,,,,,,"Cuautitlán Izcalli, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Oscar Monroy Vallejo,"Monroy Vallejo,Oscar",1,,,,,,"Mexico City, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Jesus Manuel Martinez Martinez,"Martinez Martinez,Jesus Manuel",6,,,,,,"Guadalupe, MX",2014-2018,2014,2018,,,,,,,,,,,,,,,,,,,
Jose Gertrudis Bocanegra Rojas,"Bocanegra Rojas,Jose Gertrudis",7,,,,,,"Chihuahua, MX",2014-2021,2014,2021,,,,,,,,,,,,,,,,,,,
Julio Cesar Rangel Mata,"Rangel Mata,Julio Cesar",3,,,,,,"Monterrey, MX",2014-2018,2014,2018,,,,,,,,,,,,,,,,,,,
Ricardo Benavides Perez,"Perez,Ricardo Benavides",1,,,,,,"Chihuahua, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Jorge Ancheyta Juarez,"Ancheyta Juarez,Jorge",13,,,,,,"Tlalnepantla, MX",2010-2020,2010,2020,,,,,,,,,,,,,,,,,,,
Gustavo Jesus Marroquin Sanchez,"Marroquin Sanchez,Gustavo Jesus",6,,,,,,"Tlalnepantla, MX",2010-2018,2010,2018,,,,,,,,,,,,,,,,,,,
Anton Alvarez Majmutov,"Alvarez Majmutov,Anton",1,,,,,,"Tlalnepantla, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Guillermo Centeno Nolasco,"Centeno Nolasco,Guillermo",6,,,,,,"Tlalnepantla, MX",2010-2018,2010,2018,,,,,,,,,,,,,,,,,,,
Rodrigo Felix Moreno,"Felix Moreno,Rodrigo",1,,,,,,"Atizapán de Zaragoza, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Murat Bakan,"Bakan,Murat",9,,,,,,"Puebla, MX",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Rashid Farahati,"Farahati,Rashid",27,,,,,,"Copley, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Veronica Ramos Corzo,"Ramos Corzo,Veronica",2,,,,,,"Mexico City, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Juan Carlos Cedillo Ramirez,"Cedillo Ramirez,Juan Carlos",2,,,,,,"Mexico City, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Jose Luis Mendoza De La Cruz,"Mendoza De La Cruz,Jose Luis",5,,,,,,"Mexico City, MX",2015-2017,2015,2017,,,,,,,,,,,,,,,,,,,
Adriana de Jesus Aguirre Gutierrez,"Aguirre Gutierrez,Adriana de Jesus",3,,,,,,"Mexico City, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Jacinto Aguila Hernandez,"Aguila Hernandez,Jacinto",2,,,,,,"Mexico City, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Blanca Estela Garcia Flores,"Garcia Flores,Blanca Estela",2,,,,,,"Mexico City, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Marco Antonio Aquino Olivos,"Aquino Olivos,Marco Antonio",3,,,,,,"Mexico City, MX",2016-2017,2016,2017,,,,,,,,,,,,,,,,,,,
Fernando Arambula Cosio,"Arambula Cosio,Fernando",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Gustavo Adolfo Rodrigo Velasquez Rodriguez,"Velasquez Rodriguez,Gustavo Adolfo Rodrigo",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
Blanca Elena Jimenez Cisneros,"Jimenez Cisneros,Blanca Elena",1,,,,,,"Suchiapa, MX",2017-2017,2017,2017,,,,,,,,,,,,,,,,,,,
